Time (sec), Commanded Roll (deg), Reported Roll (deg), Commanded Altitude MSL (m), Reported Altitude MSL (m), Latitude (deg), Longitude (deg)
12.213,0.0,0.0,0.0,0.0,0.0,0.0
12.238,0.0,0.0,0.0,0.0,0.0,0.0
12.264,0.0,0.0,0.0,0.0,0.0,0.0
12.29,0.0,0.0,0.0,0.0,0.0,0.0
12.315,0.0,0.0,0.0,0.0,0.0,0.0
12.345,0.0,0.0,0.0,0.0,0.0,0.0
12.373,0.0,0.0,0.0,0.0,0.0,0.0
12.399,0.0,0.0,0.0,0.0,0.0,0.0
12.427,0.0,0.0,0.0,0.0,0.0,0.0
12.452,0.0,0.0,0.0,0.0,0.0,0.0
12.48,0.0,0.0,0.0,0.0,0.0,0.0
12.505,0.0,0.0,0.0,0.0,0.0,0.0
12.531,0.0,0.0,0.0,0.0,0.0,0.0
12.559,0.0,0.0,0.0,0.0,0.0,0.0
12.588,0.0,0.0,0.0,0.0,0.0,0.0
12.614,0.0,0.0,0.0,0.0,0.0,0.0
12.643,0.0,0.0,0.0,0.0,0.0,0.0
12.672,0.0,0.0,0.0,0.0,0.0,0.0
12.697,0.0,0.0,0.0,0.0,0.0,0.0
12.724,0.0,0.0,0.0,0.0,0.0,0.0
12.751,0.0,0.0,0.0,0.0,0.0,0.0
